User Address,NB TX,NATIVE DROP,STARGATE SWAP,src | dest | contract,day | week | month,Initial Active Date,Last Active Date,isSybil
0xcb0d15753762b057f2b5497eb02075a61be8e666,155,0.31,2146.42,8 | 18 | 11,34 | 17 | 11,2023-05-15,2024-04-06,false
0x56f4a89b127afe1ef70b2a5c0ac197e4225e7a1d,138,0.34,2172.49,8 | 16 | 10,32 | 17 | 10,2023-05-15,2024-04-06,false
0xc4920e6ec91e3df494f8849d888b3e6848467ed7,143,0.37,2205.17,8 | 19 | 11,32 | 16 | 10,2023-05-15,2024-04-06,false
0x5ca7df543f9c3b0626b834b2028b209846a8bf25,139,0.33,2189.06,8 | 15 | 9,34 | 19 | 11,2023-05-15,2024-04-06,false
0x221dd3eebb8bb3ddecd49bc884c94b0cfad2c19d,123,0.33,2177.10,8 | 17 | 10,31 | 18 | 11,2023-05-16,2024-04-06,false
0x00f836d74c80431a0f9701c93e1a5bee2c7d2fd7,140,0.37,2188.55,8 | 18 | 10,33 | 17 | 10,2023-05-16,2024-04-06,false
0xcfb4f3261e24a2ecf4322e2dbd16acc89a317ce6,139,0.32,2170.82,8 | 20 | 10,34 | 19 | 11,2023-05-16,2024-04-06,false
0x08ead62ea236a09d1499918eac307bf416eeaf55,143,0.33,2124.96,8 | 18 | 10,32 | 18 | 10,2023-05-16,2024-03-04,false
0x0f53717f79133dc91f7f0a1ef382e78452a04de2,127,0.47,2123.30,8 | 17 | 10,30 | 16 | 11,2023-05-16,2024-04-06,false
0x26d693968f9f763609f0f645a10fdb2696ba9cb6,150,0.53,2151.66,10 | 16 | 10,32 | 17 | 11,2023-05-16,2024-04-04,false
0xb9607273ab34c5599f601165adcb9c504357ecb1,152,0.40,2131.41,10 | 19 | 11,32 | 16 | 11,2023-05-16,2024-04-04,false
0xbce991db9d18602e31e5543846225955f87ecf24,153,0.40,2109.41,10 | 17 | 11,33 | 16 | 10,2023-05-16,2024-04-04,false
0x02a068701d1a845184593999f853937eb78b464d,152,0.56,2128.42,10 | 17 | 11,34 | 17 | 11,2023-05-16,2024-04-04,false
0x762f8671c922bbccf7aa32c5fbdba294654538e2,146,0.50,2114.32,10 | 18 | 10,32 | 16 | 10,2023-05-16,2024-04-04,false
